n,mean_ms,stddev_ms,min_ms,max_ms
1024,240.312,5.014,236.352,248.722
2048,251.640,1.831,248.533,253.177
4096,276.699,1.933,274.510,278.343
8192,322.274,4.567,317.366,329.564
16384,415.455,3.670,412.394,421.029
32768,596.734,10.262,587.483,609.895
65536,988.947,16.565,960.369,1001.823
131072,1731.547,35.266,1699.327,1770.303
262144,3258.022,59.453,3152.562,3290.220
524288,6144.154,131.545,6019.235,6300.679
1048576,11915.655,275.054,11762.279,12406.457
2097152,23785.345,488.569,23525.843,24658.192
